Date,Open,High,Low,Close
02/16/2023,0.75,0.75,0.75,0.75
02/15/2023,0.75,0.75,0.75,0.75
02/14/2023,0.74,0.75,0.74,0.75
02/13/2023,0.74,0.75,0.74,0.74
45201,0.75,0.75,0.74,0.74
45171,0.74,0.75,0.74,0.75
45140,0.75,0.75,0.74,0.74
45109,0.75,0.75,0.74,0.75
45079,0.75,0.75,0.75,0.75
44987,0.75,0.75,0.75,0.75
44959,0.75,0.75,0.74,0.75
44928,0.75,0.75,0.75,0.75
01/31/2023,0.75,0.75,0.75,0.75
01/30/2023,0.75,0.75,0.75,0.75
01/27/2023,0.75,0.75,0.74,0.75
01/26/2023,0.75,0.75,0.75,0.75
01/25/2023,0.75,0.75,0.75,0.75
01/24/2023,0.74,0.75,0.74,0.75
01/23/2023,0.74,0.74,0.74,0.74
01/20/2023,0.75,0.75,0.74,0.74
01/19/2023,0.75,0.75,0.74,0.75
01/18/2023,0.75,0.75,0.75,0.75
01/17/2023,0.75,0.75,0.74,0.75
01/13/2023,0.75,0.75,0.74,0.75
45261,0.74,0.75,0.74,0.74
45231,0.75,0.75,0.74,0.74
45200,0.74,0.75,0.74,0.75
45170,0.74,0.74,0.73,0.74
45078,0.74,0.74,0.74,0.74
45047,0.73,0.74,0.73,0.74
45017,0.74,0.74,0.73,0.73
44986,0.74,0.74,0.74,0.74
12/30/2022,0.74,0.74,0.74,0.74
12/29/2022,0.73,0.74,0.73,0.74
