Date,Open,High,Low,Close
04/26/2023,2007.70,2020.20,1993.70,1996.00
04/25/2023,1999.40,2014.50,1986.20,2004.50
04/24/2023,1992.00,2001.50,1984.40,1999.80
04/21/2023,2016.10,2016.80,1982.30,1990.50
04/20/2023,2007.70,2024.20,2002.20,2019.10
04/19/2023,2017.90,2020.30,1980.90,2007.30
04/18/2023,2007.90,2024.60,2003.30,2019.70
04/17/2023,2014.10,2028.00,1993.40,2007.00
04/14/2023,2054.70,2061.60,2006.00,2015.80
04/13/2023,2029.50,2063.40,2028.30,2055.30
4/12/2023,2019.10,2043.90,2015.70,2024.90
4/11/2023,2007.00,2022.50,2003.70,2019.00
4/10/2023,2008.60,2021.50,1996.50,2003.80
4/6/2023,2037.10,2037.70,2016.50,2026.40
4/5/2023,2038.20,2049.20,2026.10,2035.60
4/4/2023,2001.30,2043.40,1994.00,2038.20
4/3/2023,1990.00,2008.00,1965.90,2000.40
03/31/2023,1998.00,2005.50,1984.20,1986.20
03/30/2023,1982.70,2002.40,1971.60,1997.70
03/29/2023,1975.40,1976.00,1959.50,1966.90
03/28/2023,1957.80,1977.10,1949.90,1973.50
03/27/2023,1982.60,1984.00,1945.00,1953.80
03/24/2023,1996.10,2006.50,1977.70,1983.80
03/23/2023,1974.00,2006.10,1967.30,1995.90
03/22/2023,1943.50,1982.30,1936.50,1949.60
03/21/2023,1983.10,1988.70,1938.60,1941.10
03/20/2023,1989.70,2014.90,1970.00,1982.80
03/17/2023,1925.90,1993.70,1922.30,1973.50
03/16/2023,1922.80,1938.00,1911.50,1923.00
03/15/2023,1908.20,1942.50,1889.50,1931.30
03/14/2023,1919.40,1919.40,1899.80,1910.90
03/13/2023,1877.10,1919.50,1875.70,1916.50
3/10/2023,1835.10,1874.30,1830.00,1867.20
3/9/2023,1818.00,1839.40,1815.40,1834.60
3/8/2023,1818.00,1828.70,1813.40,1818.60
3/7/2023,1852.60,1856.90,1817.10,1820.00
3/6/2023,1861.00,1864.30,1850.60,1854.60
3/3/2023,1842.10,1864.40,1842.00,1854.60
3/2/2023,1843.80,1845.30,1835.90,1840.50
3/1/2023,1834.00,1852.50,1829.60,1845.40
02/28/2023,1823.90,1838.60,1810.80,1836.70
02/27/2023,1818.00,1827.30,1812.00,1824.90
02/24/2023,1829.70,1835.10,1815.50,1817.10
02/23/2023,1834.70,1841.20,1824.80,1826.80
02/22/2023,1843.70,1855.00,1831.90,1841.50
02/21/2023,1850.80,1853.50,1839.00,1842.50
02/17/2023,1845.70,1853.10,1827.70,1850.20
02/16/2023,1846.50,1854.90,1836.60,1851.80
02/15/2023,1865.10,1870.90,1839.30,1845.30
02/14/2023,1864.10,1881.60,1852.50,1865.40
02/13/2023,1876.70,1877.20,1860.80,1863.50
2/10/2023,1873.50,1883.50,1863.50,1874.50
2/9/2023,1888.30,1902.30,1870.20,1878.50
2/8/2023,1885.10,1898.90,1881.40,1890.70
2/7/2023,1880.30,1897.20,1877.50,1884.80
2/6/2023,1878.00,1894.00,1873.20,1879.50
2/3/2023,1926.30,1932.40,1874.50,1876.60
2/2/2023,1967.10,1975.20,1925.60,1930.80
2/1/2023,1944.00,1970.80,1936.10,1942.80
01/31/2023,1938.60,1946.90,1915.50,1945.30
01/30/2023,1928.30,1933.60,1920.30,1922.90
01/27/2023,1929.30,1935.40,1916.50,1929.40
01/26/2023,1948.00,1949.80,1918.40,1930.00
01/25/2023,1938.70,1949.50,1920.60,1942.60
01/24/2023,1932.00,1943.80,1918.20,1935.40
01/23/2023,1928.40,1936.70,1912.50,1928.60
01/20/2023,1933.70,1939.00,1922.00,1928.20
01/19/2023,1907.00,1936.90,1902.00,1923.90
01/18/2023,1911.10,1929.80,1898.60,1907.00
01/17/2023,1918.40,1921.80,1906.20,1909.90
01/13/2023,1898.80,1925.30,1895.10,1921.70
1/12/2023,1879.70,1906.50,1872.40,1898.80
1/11/2023,1881.30,1890.90,1870.90,1878.90
1/10/2023,1875.70,1885.20,1872.00,1876.50
1/9/2023,1872.80,1886.40,1869.30,1877.80
1/6/2023,1835.90,1875.20,1835.20,1869.70
1/5/2023,1861.20,1864.30,1829.90,1840.60
1/4/2023,1845.20,1871.30,1842.00,1859.00
1/3/2023,1831.80,1856.60,1831.30,1846.10
12/30/2022,1821.80,1832.40,1819.80,1826.20
12/29/2022,1812.30,1827.30,1811.20,1826.00
